,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
274,lucapa,-8.4192,20.7447,296.58,71,65,3.33,AO,1618733619
275,namatanai,-3.6667,152.4333,300.52,80,100,5.3,PG,1618733619
276,sterling,39.0062,-77.4286,281.48,76,1,1.54,US,1618733620
277,tilichiki,60.4667,166.1,269.16,91,92,1.81,RU,1618733620
278,saint-paul,-21.0096,55.2707,301.15,61,90,3.6,RE,1618733620
279,birjand,32.8663,59.2211,297.15,12,0,2.06,IR,1618733621
280,taoudenni,22.6783,-3.9836,299.54,19,0,9.13,ML,1618733621
281,irbit,57.6705,63.071,275.39,40,100,7.0,RU,1618733622
282,salalah,17.0151,54.0924,304.15,62,20,5.66,OM,1618733622
283,troitskoye,52.9821,84.6757,279.66,69,100,3.69,RU,1618733622
284,lavrentiya,65.5833,-171.0,264.25,99,23,0.11,RU,1618733623
285,solnechnyy,50.7214,136.6319,281.67,70,34,2.23,RU,1618733624
286,kandrian,-6.2167,149.55,299.8,80,100,4.86,PG,1618733625
287,port hardy,50.6996,-127.4199,282.15,93,1,1.54,CA,1618733625
288,gilgit,35.9221,74.3087,287.39,73,41,0.98,PK,1618733625
289,sao joao da barra,-21.6403,-41.0511,296.44,85,99,5.36,BR,1618733626
290,omboue,-1.5746,9.2618,298.3,87,100,2.06,GA,1618733626
291,nagato,34.3833,131.2,288.15,41,75,7.72,JP,1618733626
292,martapura,-3.4167,114.85,305.15,51,20,3.09,ID,1618733627
293,ndele,8.4109,20.6473,307.27,33,91,2.85,CF,1618733627
294,geraldton,-28.7667,114.6,300.15,39,0,10.29,AU,1618733628
295,bairiki,1.3292,172.9752,301.15,78,40,2.06,KI,1618733628
296,haines junction,60.7522,-137.5108,273.15,74,36,0.51,CA,1618733628
297,narsaq,60.9167,-46.05,265.15,49,0,3.09,GL,1618733629
298,praia,14.9215,-23.5087,294.15,78,20,7.72,CV,1618733629
299,mbalmayo,3.5167,11.5,294.15,100,75,2.06,CM,1618733630
300,japura,-0.3167,102.35,306.99,45,85,1.43,ID,1618733630
301,briceni,48.3572,27.7036,282.04,72,68,1.88,MD,1618733631
302,talaya,61.3833,152.75,273.13,83,45,4.02,RU,1618733631
303,grindavik,63.8424,-22.4338,276.15,81,75,11.83,IS,1618733632
304,guiratinga,-16.3494,-53.7583,292.59,91,9,0.74,BR,1618733632
305,popondetta,-8.7537,148.2534,297.61,94,100,1.63,PG,1618733632
306,quatre cocos,-20.2078,57.7625,302.59,83,75,6.17,MU,1618733633
307,hervey bay,-25.2986,152.8535,294.82,75,64,2.24,AU,1618733633
308,zagare,56.3592,23.25,286.15,44,0,4.12,LT,1618733634
309,pandamatenga,-18.5278,25.627,293.44,48,0,4.65,BW,1618733634
310,tevaitoa,-16.7833,-151.5,301.06,74,16,4.06,PF,1618733634
311,sorland,67.667,12.6934,278.19,71,17,3.83,NO,1618733636
312,kruisfontein,-34.0033,24.7314,300.93,30,2,0.89,ZA,1618733636
313,beringovskiy,63.05,179.3167,273.02,98,100,3.89,RU,1618733637
314,ewa beach,21.3156,-158.0072,296.15,73,1,2.57,US,1618733637
315,cabedelo,-6.9811,-34.8339,296.15,100,75,2.06,BR,1618733637
316,macia,-25.0269,33.0989,297.62,42,0,0.85,MZ,1618733638
317,port lincoln,-34.7333,135.8667,291.02,55,83,4.19,AU,1618733638
318,ziyang,29.2497,117.8547,293.03,59,100,0.87,CN,1618733639
319,ulundi,-28.3352,31.4162,296.2,37,1,1.7,ZA,1618733639
320,leiyang,26.4024,112.8591,288.53,93,100,2.45,CN,1618733406
321,broken hill,-31.95,141.4333,292.15,34,2,3.09,AU,1618733640
322,rawson,-43.3002,-65.1023,288.21,90,53,7.56,AR,1618733641
323,namibe,-15.1961,12.1522,302.94,56,7,2.04,AO,1618733641
324,kobelyaky,49.1489,34.1965,282.9,61,100,2.69,UA,1618733642
325,north bend,43.4065,-124.2243,281.48,100,90,0.99,US,1618733642
326,luderitz,-26.6481,15.1594,303.08,31,0,3.78,NA,1618733643
327,avera,33.194,-82.5271,288.15,94,1,2.57,US,1618733643
328,tiksi,71.6872,128.8694,259.37,88,100,4.07,RU,1618733644
329,marawi,7.9986,124.2928,302.04,68,100,5.81,PH,1618733644
330,talcahuano,-36.7167,-73.1167,286.15,100,90,2.06,CL,1618733415
331,votkinsk,57.0486,53.9872,278.93,57,97,6.46,RU,1618733645
332,yar-sale,66.8333,70.8333,261.64,88,100,7.35,RU,1618733645
333,shar,49.5886,81.0453,289.74,30,16,3.32,KZ,1618733645
334,dharchula,29.85,80.5333,299.06,20,26,3.88,IN,1618733646
335,hokitika,-42.7167,170.9667,285.83,83,93,0.74,NZ,1618733646
336,san jose,37.3394,-121.895,285.37,82,1,2.06,US,1618733656
337,bagdarin,54.4333,113.6,271.86,31,57,7.02,RU,1618733648
338,port-gentil,-0.7193,8.7815,300.15,83,20,2.06,GA,1618733648
339,mysliborz,52.9238,14.8679,284.26,77,100,2.24,PL,1618733648
340,cloquet,46.7216,-92.4594,272.59,69,1,1.54,US,1618733649
341,milkovo,54.7167,158.6167,275.05,92,100,2.05,RU,1618733649
342,livingston,55.9029,-3.5226,281.15,61,0,1.03,GB,1618733650
343,bahraich,27.5833,81.6,311.64,9,0,6.7,IN,1618733650
344,kafue,-15.7691,28.1814,294.18,53,86,4.81,ZM,1618733651
345,fredericksburg,38.3032,-77.4605,280.37,93,1,1.54,US,1618733384
346,coquimbo,-29.9533,-71.3436,286.15,94,90,1.03,CL,1618733651
347,velikiy ustyug,60.7644,46.3106,277.51,39,4,4.59,RU,1618733652
348,imbituba,-28.24,-48.6703,294.15,78,75,3.09,BR,1618733652
349,santa marinella,42.0345,11.8536,284.26,42,40,1.34,IT,1618733652
350,tagusao,9.1924,117.8141,301.55,72,100,3.02,PH,1618733653
351,itoman,26.1247,127.6694,294.15,52,75,10.29,JP,1618733653
352,tura,25.5198,90.2201,307.22,28,2,3.31,IN,1618733653
353,laguna,38.421,-121.4238,289.82,36,1,2.57,US,1618733654
354,suntar,62.1444,117.6319,266.97,68,100,4.82,RU,1618733654
355,renukut,24.2,83.0333,311.18,12,23,6.28,IN,1618733655
356,aldan,58.6031,125.3894,266.25,92,100,4.03,RU,1618733532
357,ostersund,63.1792,14.6357,279.15,52,4,3.6,SE,1618733655
358,madang,-5.2246,145.7966,297.44,90,100,3.89,PG,1618733655
359,manoel urbano,-8.8389,-69.2597,294.0,95,92,0.68,BR,1618733656
360,bell ville,-32.6259,-62.6887,288.71,95,0,0.89,AR,1618733656
361,waddan,29.1614,16.139,298.82,32,100,1.23,LY,1618733657
362,faya,18.3851,42.4509,296.15,20,0,4.12,SA,1618733657
363,cuyo,10.8525,121.0086,301.21,75,100,5.09,PH,1618733658
364,vanimo,-2.6741,141.3028,300.12,81,77,1.23,PG,1618733658
365,gushikawa,26.3544,127.8686,294.15,49,1,6.69,JP,1618733658
366,dalvik,65.9702,-18.5286,277.15,41,20,7.2,IS,1618733659
367,mbini,1.574,9.6134,298.21,89,100,0.85,GQ,1618733659
368,hjallerup,57.1647,10.1457,284.26,46,89,4.63,DK,1618733587
369,novoagansk,61.9449,76.6625,261.45,67,25,6.97,RU,1618733660
370,komsomolskiy,40.4272,71.7189,295.15,21,100,7.2,UZ,1618733660
371,kirakira,-10.4544,161.9205,300.08,84,100,3.01,SB,1618733661
372,coihaique,-45.5752,-72.0662,282.0,95,100,1.32,CL,1618733661
373,boguchany,58.3814,97.4531,274.26,50,100,5.48,RU,1618733662
374,omsukchan,62.5333,155.8,267.73,91,95,4.13,RU,1618733662
375,nova olinda do norte,-3.8881,-59.0942,295.52,99,94,1.05,BR,1618733662
376,tateyama,34.9833,139.8667,290.37,44,20,9.26,JP,1618733663
377,hami,42.8,93.45,297.7,10,72,3.09,CN,1618733663
378,vyskov,49.2775,16.999,280.93,76,100,2.7,CZ,1618733663
379,ust-tsilma,65.441,52.1498,271.13,50,5,2.79,RU,1618733664
380,lata,40.1629,-8.3327,285.37,68,100,0.89,PT,1618733664
381,fenoarivo,-18.933,47.4354,292.15,72,75,5.14,MG,1618733665
382,kuala terengganu,5.3302,103.1408,306.15,62,20,2.06,MY,1618733665
383,tacuarembo,-31.7333,-55.9833,287.4,96,100,1.83,UY,1618733538
384,calama,-22.4667,-68.9333,281.15,34,0,9.26,CL,1618733666
385,kashi,39.4547,75.9797,295.15,12,0,4.0,CN,1618733668
386,kushima,31.4583,131.2333,292.15,37,20,6.69,JP,1618733668
387,dalnerechensk,45.9339,133.7225,287.39,33,33,6.91,RU,1618733668
388,kayerkan,69.3497,87.7602,252.71,87,25,2.88,RU,1618733669
389,pa sang,18.5262,98.9394,306.48,55,75,1.54,TH,1618733669
390,lakes entrance,-37.8811,147.981,289.26,70,61,2.52,AU,1618733670
391,santa maria,-29.6842,-53.8069,289.6,97,92,2.38,BR,1618733670
392,kupang,-10.1667,123.5833,301.58,70,97,5.04,ID,1618733670
393,cherskiy,68.75,161.3,272.4,74,100,8.92,RU,1618733671
394,nishihara,26.1842,127.7558,294.15,52,20,6.69,JP,1618733671
395,lewisporte,49.2499,-55.0482,275.15,93,90,8.75,CA,1618733671
396,telimele,10.9167,-13.3333,297.42,75,100,0.23,GN,1618733672
397,constitucion,-35.3333,-72.4167,284.75,87,27,0.21,CL,1618733672
398,berlevag,70.8578,29.0864,276.15,83,91,8.54,NO,1618733673
399,panguna,-6.3164,155.4848,294.53,95,53,1.02,PG,1618733673
400,ligayan,4.6533,119.4706,301.82,75,99,6.38,PH,1618733673
401,lasa,46.6166,10.7002,285.15,74,20,3.09,IT,1618733674
402,chitrakonda,18.1167,82.0833,310.48,20,34,2.9,IN,1618733674
403,sabha,27.0377,14.4283,302.47,19,100,5.94,LY,1618733674
404,griffith,41.5284,-87.4237,274.82,86,1,0.81,US,1618733675
405,berezovyy,51.6667,135.7,281.89,77,39,1.91,RU,1618733675
406,chany,55.3121,76.7647,280.48,69,100,7.37,RU,1618733676
407,grand gaube,-20.0064,57.6608,302.59,72,91,4.02,MU,1618733676
408,gambela,8.25,34.5833,312.25,21,39,1.53,ET,1618733676
409,vallenar,-28.5708,-70.7581,289.08,79,0,1.23,CL,1618733677
410,tottori,35.5,134.2333,282.15,87,75,2.57,JP,1618733464
411,ngunguru,-35.6167,174.5,287.59,86,100,3.58,NZ,1618733677
412,yerbogachen,61.2767,108.0108,268.57,54,100,4.86,RU,1618733530
413,havoysund,70.9963,24.6622,277.15,70,0,5.14,NO,1618733678
414,souillac,-20.5167,57.5167,300.15,83,75,6.17,MU,1618733678
415,ustynivka,47.9551,32.5367,287.15,41,40,3.0,UA,1618733678
416,saquarema,-22.92,-42.5103,294.2,83,100,2.09,BR,1618733679
417,worland,44.0169,-107.9554,277.04,70,75,2.08,US,1618733679
418,cartagena del chaira,1.3349,-74.8429,294.68,98,100,0.81,CO,1618733680
419,damghan,36.1683,54.348,294.55,23,88,1.68,IR,1618733680
420,rocha,-34.4833,-54.3333,288.02,96,58,1.28,UY,1618733680
421,caravelas,-17.7125,-39.2481,294.15,94,28,1.56,BR,1618733681
422,oksfjord,70.2396,22.3479,277.15,65,0,1.54,NO,1618733681
423,muli,2.9167,73.5667,302.06,62,66,3.89,MV,1618733682
424,necochea,-38.5473,-58.7368,289.82,93,100,2.24,AR,1618733682
425,katsuura,35.1333,140.3,293.15,39,0,4.02,JP,1618733682
426,klaksvik,62.2266,-6.589,281.15,100,100,8.75,FO,1618733683
427,manokwari,-0.8667,134.0833,300.35,76,55,1.28,ID,1618733683
428,chipata,-13.6333,32.65,292.46,69,72,3.6,ZM,1618733684
429,poum,-20.2333,164.0167,299.47,70,73,3.76,NC,1618733684
430,karratha,-20.7377,116.8463,303.5,41,0,6.26,AU,1618733684
431,yelets,52.6237,38.5017,281.99,67,93,3.4,RU,1618733685
432,portree,57.4129,-6.1942,279.82,89,100,9.39,GB,1618733685
433,bani walid,31.7566,13.9942,289.33,62,100,5.28,LY,1618733686
434,upanema,-5.6419,-37.2578,296.55,88,87,1.37,BR,1618733687
435,toba,34.4833,136.85,283.71,81,9,2.68,JP,1618733687
436,itapetininga,-23.5917,-48.0531,290.38,92,100,2.59,BR,1618733688
437,batagay,67.6333,134.6333,268.52,89,100,2.86,RU,1618733688
438,buala,-8.145,159.5921,300.66,79,94,2.25,SB,1618733689
439,ketchikan,55.3422,-131.6461,277.15,87,1,1.54,US,1618733689
440,araouane,18.9048,-3.5265,301.03,14,6,6.9,ML,1618733689
441,yakeshi,49.2833,120.7333,280.35,74,15,2.35,CN,1618733690
442,san rafael del sur,11.8485,-86.4384,301.15,78,20,2.06,NI,1618733690
443,pokosnoye,55.5258,101.0536,273.79,46,100,4.49,RU,1618733690
444,chengam,12.3,78.8,309.77,27,10,3.1,IN,1618733691
445,port moresby,-9.4431,147.1797,299.08,86,88,1.24,PG,1618733691
446,asfi,32.2994,-9.2372,289.95,79,44,6.02,MA,1618733692
447,puerto princesa,9.7392,118.7353,304.15,62,90,4.12,PH,1618733692
448,batagay-alyta,67.8006,130.4114,267.48,91,100,1.79,RU,1618733534
449,tautira,-17.7333,-149.15,299.82,78,20,1.03,PF,1618733692
450,dudinka,69.4058,86.1778,253.01,86,18,4.46,RU,1618733693
451,vardo,70.3705,31.1107,275.19,88,64,7.09,NO,1618733693
452,sebezh,56.2955,28.4654,285.85,42,65,4.75,RU,1618733694
453,sampit,-2.5333,112.95,298.53,88,100,0.72,ID,1618733694
454,victoria point,-27.5833,153.3,292.59,83,82,5.94,AU,1618733694
455,port alberni,49.2413,-124.8028,284.82,69,13,0.66,CA,1618733695
456,raudeberg,61.9875,5.1352,285.15,40,2,4.63,NO,1618733696
457,broome,42.2506,-75.833,279.26,93,90,2.57,US,1618733697
458,victor harbor,-35.5667,138.6167,289.82,78,81,3.2,AU,1618733697
459,sembe,1.6481,14.5806,298.11,81,100,1.48,CG,1618733698
460,reconquista,-29.15,-59.65,291.59,92,0,2.15,AR,1618733699
461,novobelokatay,55.7062,58.9549,282.75,52,32,5.94,RU,1618733699
462,mount gambier,-37.8333,140.7667,289.15,67,90,6.17,AU,1618733700
463,tarakan,3.3,117.6333,305.15,62,40,2.06,ID,1618733700
464,xinzhi,36.4989,111.7047,296.34,21,1,4.13,CN,1618733701
465,sinnamary,5.3833,-52.95,298.67,79,100,5.82,GF,1618733701
466,nelson bay,-32.7167,152.15,289.26,88,4,3.21,AU,1618733701
467,dormidontovka,47.7702,134.9076,286.0,40,7,5.54,RU,1618733702
468,saint-denis,48.9167,2.3333,280.15,76,0,3.09,FR,1618733702
469,jalu,29.0331,21.5482,305.71,12,100,1.62,LY,1618733710
470,ziro,27.6333,93.8333,303.15,58,90,1.54,IN,1618733711
471,skibbereen,51.55,-9.2667,281.15,87,90,3.09,IE,1618733712
472,isabela,6.7085,121.9711,303.15,74,75,5.66,PH,1618733712
473,mariakani,-3.8633,39.4736,298.15,94,90,7.2,KE,1618733713
474,san cristobal,7.7669,-72.225,292.24,87,94,1.01,VE,1618733713
475,isangel,-19.55,169.2667,298.76,84,72,4.51,VU,1618733713
476,nizwa,22.9333,57.5333,308.61,9,80,5.65,OM,1618733714
477,sangar,63.9242,127.4739,266.77,80,100,2.52,RU,1618733714
478,nuevo progreso,23.1667,-97.95,289.82,68,99,2.24,MX,1618733715
479,adre,13.4667,22.2,305.71,7,25,8.57,TD,1618733715
480,hirara,24.8,125.2833,295.15,52,20,9.26,JP,1618733715
481,masuda,34.6667,131.85,284.15,82,75,4.63,JP,1618733716
482,valday,57.9747,33.2525,283.79,46,3,5.03,RU,1618733716
483,babina,25.25,78.4667,311.7,10,3,5.58,IN,1618733716
484,krugersdorp,-26.0858,27.7752,290.37,63,0,1.54,ZA,1618733717
485,salinopolis,-0.6136,-47.3561,297.92,88,100,3.94,BR,1618733717
486,deputatskiy,69.3,139.9,264.37,87,100,7.67,RU,1618733717
487,robertsport,6.7533,-11.3686,299.14,78,77,2.67,LR,1618733718
488,vestmanna,62.1564,-7.1664,281.15,100,100,8.75,FO,1618733718
489,acajutla,13.5928,-89.8275,295.93,87,100,0.89,SV,1618733719
490,lulea,65.5842,22.1547,277.15,75,0,1.54,SE,1618733719
491,along,28.1667,94.7667,294.86,75,98,1.38,IN,1618733719
492,urdoma,61.7533,48.5442,275.75,46,6,4.13,RU,1618733720
493,ossora,59.2353,163.0719,270.77,89,100,0.36,RU,1618733720
494,kijang,35.2442,129.2139,292.15,22,0,4.63,KR,1618733721
495,dolores,-36.3132,-57.6792,288.83,95,26,2.23,AR,1618733721
496,labuhan,-6.8844,112.2051,301.92,68,100,2.73,ID,1618733721
497,neiafu,-18.65,-173.9833,299.54,70,18,5.74,TO,1618733722
498,black river,18.0264,-77.8487,298.15,73,20,1.03,JM,1618733722
499,lukhovitsy,54.9728,39.0361,281.48,53,100,4.3,RU,1618733722
500,vila franca do campo,37.7167,-25.4333,289.15,94,75,3.6,PT,1618733723
501,yubari,43.0378,141.9578,282.15,93,75,5.14,JP,1618733723
502,eggenfelden,48.4054,12.7626,279.82,92,100,0.7,DE,1618733724
503,ilulissat,69.2167,-51.1,257.15,60,100,9.26,GL,1618733724
504,victoria,22.2855,114.1577,297.04,70,28,0.89,HK,1618733712
505,banda aceh,5.5577,95.3222,302.87,69,20,4.39,ID,1618733724
506,palu,-0.8917,119.8707,301.04,77,100,1.19,ID,1618733619
507,nizhniy kuranakh,58.8353,125.4869,268.05,88,100,3.5,RU,1618733532
508,chancay,-11.5714,-77.2672,291.48,88,0,2.06,PE,1618733725
509,edd,13.9297,41.6925,308.06,26,8,9.22,ER,1618733726
510,birin,26.8865,88.0718,304.15,48,75,3.6,NP,1618733727
511,trairi,-3.2778,-39.2689,296.65,94,97,2.24,BR,1618733540
512,mulege,26.8833,-111.9833,292.22,42,0,0.89,MX,1618733844
513,payo,-3.7508,103.6372,304.68,55,99,1.51,ID,1618733728
514,tynda,55.1667,124.7167,279.51,82,100,1.86,RU,1618733728
515,liberty,31.8335,-81.5004,291.15,88,20,3.09,US,1618733729
516,benjamin aceval,-24.9667,-57.5667,293.15,94,0,1.03,PY,1618733729
517,maicao,11.3832,-72.2432,298.73,79,76,5.11,CO,1618733730
518,padang,-0.9492,100.3543,302.53,69,50,2.44,ID,1618733730
519,mitsamiouli,-11.3847,43.2844,302.15,70,40,6.17,KM,1618733730
520,vao,-22.6667,167.4833,297.37,77,69,7.45,NC,1618733731
521,gorom-gorom,14.4439,-0.2361,306.37,28,72,6.99,BF,1618733731
522,moate,53.55,-7.7167,281.48,88,100,1.34,IE,1618733732
523,jijiga,9.35,42.8,295.78,54,92,4.64,ET,1618733660
524,nago,26.5881,127.9761,294.15,49,1,6.69,JP,1618733732
525,batsfjord,70.6345,29.7185,276.07,84,93,6.48,NO,1618733733
526,port keats,-14.25,129.55,304.47,36,62,3.17,AU,1618733733
527,sandakan,5.8402,118.1179,305.15,62,20,2.06,MY,1618733733
528,navalmoral de la mata,39.8916,-5.5406,282.59,54,99,1.34,ES,1618733734
529,tarabha,20.7333,83.65,314.65,11,6,3.38,IN,1618733734
530,nanning,22.8167,108.3167,293.15,94,90,2.0,CN,1618733735
531,bereda,43.2686,-7.5406,283.71,100,56,0.89,ES,1618733735
532,luneville,48.6,6.5,283.15,53,90,3.09,FR,1618733736
533,hovd,48.0056,91.6419,288.08,10,1,8.04,MN,1618733736
534,mosetse,-20.75,26.65,293.42,38,0,6.63,BW,1618733736
535,hofn,64.2539,-15.2082,277.82,57,96,6.2,IS,1618733737
536,piacabucu,-10.4056,-36.4344,297.22,85,37,2.06,BR,1618733737
537,pangnirtung,66.1451,-65.7125,255.26,82,14,3.53,CA,1618733737
538,clyde river,70.4692,-68.5914,258.15,85,90,4.63,CA,1618733738
539,dwarka,22.2394,68.9678,303.25,56,56,5.82,IN,1618733738
540,port macquarie,-31.4333,152.9167,288.71,88,51,3.96,AU,1618733669
541,coolum beach,-26.5333,153.1,293.15,80,4,3.76,AU,1618733739
542,albstadt,48.2164,9.026,276.48,100,100,1.37,DE,1618733739
543,nantucket,41.2835,-70.0995,279.15,87,90,2.06,US,1618733694
544,half moon bay,37.4636,-122.4286,284.82,82,1,3.97,US,1618733740
545,veraval,20.9,70.3667,305.54,48,0,6.57,IN,1618733740
546,cardston,49.2,-113.3019,279.15,45,66,3.09,CA,1618733741
